recv_date,part_no,serial,supplier,spec_item,spec_min,spec_max,measured,unit
2026-08-24,SH-2200,SH2200-B-0610,BSTech,coating_um,2.0,3.0,2.58,um
2026-08-24,SH-2200,SH2200-A-1201,AlphaParts,coating_um,2.0,3.0,2.45,um
2026-08-24,SH-2200,SH2200-B-0611,BSTech,coating_um,2.0,3.0,2.73,um
2026-08-24,SH-2200,SH2200-A-1202,AlphaParts,coating_um,2.0,3.0,2.12,um
2026-08-25,SH-2200,SH2200-B-0612,BSTech,coating_um,2.0,3.0,2.82,um
2026-08-25,SH-2200,SH2200-A-1203,AlphaParts,coating_um,2.0,3.0,1.99,um
2026-08-25,SH-2200,SH2200-B-0613,BSTech,coating_um,2.0,3.0,2.69,um
2026-08-25,SH-2200,SH2200-A-1204,AlphaParts,coating_um,2.0,3.0,2.45,um
2026-08-26,SH-2200,SH2200-B-0614,BSTech,coating_um,2.0,3.0,2.64,um
2026-08-26,SH-2200,SH2200-A-1205,AlphaParts,coating_um,2.0,3.0,2.29,um
2026-08-26,SH-2200,SH2200-B-0615,BSTech,coating_um,2.0,3.0,2.59,um
2026-08-26,SH-2200,SH2200-A-1206,AlphaParts,coating_um,2.0,3.0,2.22,um
2026-08-27,SH-2200,SH2200-B-0616,BSTech,coating_um,2.0,3.0,2.96,um
2026-08-27,SH-2200,SH2200-A-1207,AlphaParts,coating_um,2.0,3.0,2.39,um
2026-08-27,SH-2200,SH2200-B-0617,BSTech,coating_um,2.0,3.0,2.68,um
2026-08-27,SH-2200,SH2200-A-1208,AlphaParts,coating_um,2.0,3.0,2.26,um
2026-08-28,SH-2200,SH2200-B-0618,BSTech,coating_um,2.0,3.0,2.57,um
2026-08-28,SH-2200,SH2200-A-1209,AlphaParts,coating_um,2.0,3.0,2.20,um
2026-08-28,SH-2200,SH2200-B-0619,BSTech,coating_um,2.0,3.0,2.77,um
2026-08-28,SH-2200,SH2200-A-1210,AlphaParts,coating_um,2.0,3.0,2.34,um
2026-08-29,SH-2200,SH2200-B-0620,BSTech,coating_um,2.0,3.0,2.62,um
2026-08-29,SH-2200,SH2200-A-1211,AlphaParts,coating_um,2.0,3.0,2.45,um
2026-08-29,SH-2200,SH2200-B-0621,BSTech,coating_um,2.0,3.0,2.58,um
2026-08-29,SH-2200,SH2200-A-1212,AlphaParts,coating_um,2.0,3.0,2.29,um
2026-08-30,SH-2200,SH2200-B-0622,BSTech,coating_um,2.0,3.0,2.86,um
2026-08-30,SH-2200,SH2200-A-1213,AlphaParts,coating_um,2.0,3.0,2.22,um
2026-08-30,SH-2200,SH2200-B-0623,BSTech,coating_um,2.0,3.0,2.77,um
2026-08-30,SH-2200,SH2200-A-1214,AlphaParts,coating_um,2.0,3.0,2.34,um
2026-08-31,SH-2200,SH2200-B-0624,BSTech,coating_um,2.0,3.0,2.84,um
2026-08-31,SH-2200,SH2200-A-1215,AlphaParts,coating_um,2.0,3.0,2.37,um
2026-08-31,SH-2200,SH2200-B-0625,BSTech,coating_um,2.0,3.0,2.84,um
2026-08-31,SH-2200,SH2200-A-1216,AlphaParts,coating_um,2.0,3.0,2.06,um
2026-09-01,SH-2200,SH2200-B-0626,BSTech,coating_um,2.0,3.0,2.67,um
2026-09-01,SH-2200,SH2200-A-1217,AlphaParts,coating_um,2.0,3.0,2.48,um
2026-09-01,SH-2200,SH2200-B-0627,BSTech,coating_um,2.0,3.0,2.54,um
2026-09-01,SH-2200,SH2200-A-1218,AlphaParts,coating_um,2.0,3.0,2.25,um
2026-09-02,SH-2200,SH2200-B-0628,BSTech,coating_um,2.0,3.0,2.54,um
2026-09-02,SH-2200,SH2200-A-1219,AlphaParts,coating_um,2.0,3.0,2.51,um
2026-09-02,SH-2200,SH2200-B-0629,BSTech,coating_um,2.0,3.0,2.77,um
2026-09-02,SH-2200,SH2200-A-1220,AlphaParts,coating_um,2.0,3.0,2.10,um
